id	slope	elevation	tpi	twi	coarse	stream
313	2.654623	502.4384	26.7089	0.63336	11.35838	55.4315
314	3.991635	563.767	16.84704	-0.19729	15.02174	36.2569
315	5.140017	447.9714	9.727653	1.058975	13.45098	100
316	5.06392	567.4975	19.08591	-0.26562	14.16667	41.8902
317	9.349324	421.1417	14.897	0.157381	14.73986	62.65
318	2.55588	418.4191	31.46327	0.88076	11.37017	57.9128
319	1.96086	424.817	27.52192	0.899641	10.2807	59.4367
320	3.658334	599.7195	24.40766	1.007345	11.47541	77.632
321	4.561461	709.5242	19.84385	0.120854	15.49291	49.4235
322	3.049501	343.949	20.63815	0.37744	8.968912	36.2679
323	3.367943	256.3518	22.01018	0.776283	8.72	49.6151
324	3.564676	271.9004	25.17005	0.647106	9.45283	70.0691
325	5.710617	543.1861	19.23913	-0.3316	14.00709	61.2763
326	4.30474	542.9284	15.8471	-0.28612	14.8	27.7227
327	4.70464	570.5029	19.25623	-0.08241	14.6875	42.53
328	3.34775	354.6805	27.8385	1.155738	9.130058	60.0677
329	4.451119	532.8671	18.30415	0.190878	13.82675	69.8144
330	3.565516	514.1362	25.26422	0.872635	11.09848	83.8393
331	3.326917	518.6756	24.6618	1.150466	14.26733	83.4431
332	5.939737	542.979	13.67914	0.211987	14.18045	74.0289
333	4.702766	567.0985	23.1036	0.213374	15.02609	51.0324
334	3.457307	544.3816	20.69981	0.415362	11.22807	68.4863
335	3.912955	560.5249	29.0416	0.375658	14.07018	47.8399
336	6.117091	561.0763	21.34946	0.049495	15.30556	76.7698
337	8.211763	531.8774	12.20119	-0.67083	15.01163	41.45
338	9.296797	482.9371	14.44666	0.087259	14.89655	61.025
339	2.911134	487.2233	23.19594	0.563699	12.5	44.0591
340	2.067446	461.5175	23.68774	1.128785	9.902778	54.5504
341	4.986678	639.3284	20.87677	0.327716	14.21756	88.9346
342	6.817552	571.0951	19.3326	-0.49661	14.79104	52.7709
343	2.984485	455.6228	25.38973	0.88809	10.86316	71.1263
344	5.826867	492.7018	14.49371	0.516956	12.33696	70.5371
345	4.40272	487.1967	18.42168	0.844692	11.38362	90.4477
346	6.392826	496.4104	12.72768	-0.29522	12.57258	51.1356
347	4.288372	469.8756	18.39126	0.325271	13.37838	61.2509
348	2.72796	231.8208	26.49083	1.228071	8.268949	65.9827
349	1.571289	227.5964	33.29662	1.2256	7.140187	78.8198
350	2.597863	241.2839	27.27382	1.145378	8.825095	76.7079
351	5.461632	578.6681	21.96506	0.669079	14.92537	86.5752
352	4.487097	584.5045	21.46264	-0.42677	15.32787	33.4937
353	2.994506	404.9694	29.99315	0.852111	9.557621	59.1867
354	3.069888	382.9147	30.24406	1.132896	8.675926	60.137
355	6.233673	600.9312	19.8332	0.37424	13.43939	91.312
356	6.514488	580.892	20.72347	0.403038	13.33333	77.5463
357	5.189061	636.0057	16.93692	-0.4543	13.09278	44.0471
358	3.871939	644.0615	21.57675	0.956743	13.02941	66.116
359	1.205877	182.9216	41.19376	2.44405	4.514349	59.3384
360	5.792993	461.1752	14.30025	-0.11262	13.76364	43.925
361	6.50604	411.1756	11.39549	0.394925	11.02857	83.5635
362	0.859575	193.5144	36.08826	2.452899	4.936688	61.2532
363	3.826377	541.8909	21.5563	0.500658	13.29126	33.0735
364	5.901309	519.7126	17.87634	-0.44881	13.93878	36.4744
365	4.246971	504.1059	17.69334	0.614542	12.32308	54.1704
366	3.309634	413.4429	27.06402	0.889243	10.21453	68.8139
367	7.130694	439.0764	12.34198	0.260641	14.2069	67.9513
368	4.092508	539.0269	28.91252	0.474922	11.89655	36.6304
369	4.314649	519.1887	20.70084	0.293196	9.444444	60.2211
370	1.419023	190.1544	36.94927	2.192943	5.568406	59.2097
371	4.7841	592.1692	21.95872	0.487432	13.63014	81.8039
372	4.64685	646.3899	23.06927	0.025827	12.86897	59.4176
373	3.51258	543.8936	21.58856	0.245896	12.704	63.4269
374	3.297755	563.771	26.3901	1.233505	14.45205	85.7589
375	4.920745	557.0354	19.13371	0.167524	12.9538	51.0198
376	7.083833	601.5148	17.42597	-0.702	13.85106	14.3335
377	4.383597	600.2414	18.90963	0.278236	13.66667	25.5395
378	5.052772	512.6528	26.61289	0.865646	13.32	78.5534
379	4.742295	561.9694	20.81599	0.177388	13.58644	49.1565
380	4.650432	582.8808	22.2628	-0.08734	14.69444	49.1274
381	5.163721	621.6054	25.41724	-0.35474	13.69048	37.1566
382	4.081469	629.353	25.75711	-0.02276	13.0814	53.8827
383	7.119684	501.0985	16.4044	0.119214	13.62069	60.4512
384	9.493391	559.4825	7.99078	-0.79423	15.80645	60.5962
385	9.77121	517.3825	16.33375	0.257755	14.14	94.7412
386	5.234841	576.9494	21.11756	-0.05414	14.92513	71.839
387	3.047682	656.7698	27.68598	0.813242	13.58031	58.7908
388	4.890619	609.2116	20.8417	0.617479	14.15663	66.0602
389	3.53706	641.1607	24.68353	0.401927	13.73529	57.0733
390	4.083627	516.5813	22.43765	0.270536	13.14228	64.143
391	3.373521	569.9514	25.29363	0.702529	14	51.7593
392	3.879086	491.2161	19.10539	0.249153	11.00633	60.2964
393	4.320366	658.9751	22.48445	0.029867	13.14943	59.5857
394	2.80393	476.3628	24.96337	0.556428	11.74468	51.3236
395	5.759402	443.3406	22.36066	0.316577	13.09172	66.8723
396	4.27592	627.5127	18.78116	0.166761	13.98315	62.8363
397	2.034883	239.4449	24.56579	1.166209	7.259109	48.4594
398	4.917109	578.2245	19.27634	-0.32463	13.785	35.6712
399	4.479221	513.8109	22.2245	0.838889	12.70199	71.2723
400	4.590809	575.1277	21.35708	0.067851	14.27358	49.0128
401	4.373186	501.5392	21.13913	0.53203	12.52209	72.8876
